ID,shortedPath,subgenres,Genre,TimesPlayed_Global
64,/tracks/ROCK/Queen/Queen - Don't Stop Me Now (Official Video).mp3,2,ROCK,0
65,/tracks/ROCK/Queen/Queen - Another One Bites the Dust (Official Video).mp3,4,ROCK,0
66,/tracks/ROCK/Queen/Queen - We Will Rock You (Official Video).mp3,4,ROCK,0
67,/tracks/ELECTRONIC/Disclosure/Disclosure feat. London Grammar - Help Me Lose My Mind (lyrics) Music Video.mp3,3,ELECTRONIC,5
68,/tracks/ELECTRONIC/Disclosure/Disclosure - You & Me (Flume Remix) [Official Video].mp3,2,ELECTRONIC,2
69,/tracks/ELECTRONIC/Disclosure/Disclosure - Magnets ft. Lorde.mp3,1,ELECTRONIC,2
70,/tracks/ELECTRONIC/Disclosure/Disclosure - Latch ft. Sam Smith.mp3,1,ELECTRONIC,2
71,/tracks/ELECTRONIC/Chris_Cornell/Chris Cornell - Patience (Official Video).mp3,0,ELECTRONIC,2
72,/tracks/ELECTRONIC/Chris_Cornell/Chris Cornell - Nearly Forgot My Broken Heart (Lyric Video).mp3,2,ELECTRONIC,2
73,/tracks/ELECTRONIC/Chris_Cornell/Chris Cornell - Part Of Me ft. Timbaland.mp3,4,ELECTRONIC,2
74,/tracks/ELECTRONIC/Steve_Aoki/Steve Aoki - Boneless (Audio).mp3,0,ELECTRONIC,2
75,/tracks/ELECTRONIC/Steve_Aoki/Steve Aoki & Laidback Luke ft. Lil Jon - Turbulence.mp3,2,ELECTRONIC,2
76,"/tracks/ELECTRONIC/Steve_Aoki/Dimitri Vegas & Like Mike, Steve Aoki vs Ummet Ozcan - Melody.mp3",0,ELECTRONIC,2
77,/tracks/ELECTRONIC/The_Blaze/The Blaze - EYES (Live Performance filmed by Blogothèque).mp3,0,ELECTRONIC,2
78,/tracks/ELECTRONIC/The_Blaze/The Blaze - Territory (HQ).mp3,4,ELECTRONIC,2
79,/tracks/ELECTRONIC/The_Blaze/The Blaze - SHE (Audio).mp3,4,ELECTRONIC,0
80,/tracks/ELECTRONIC/David_Guetta/Crank It Up (feat. Akon).mp3,2,ELECTRONIC,0
81,/tracks/ELECTRONIC/David_Guetta/David Guetta - Without You ft. Usher (Lyric video).mp3,0,ELECTRONIC,0
82,/tracks/ELECTRONIC/David_Guetta/David Guetta & Showtek - Bad ft.Vassy (Lyrics Video).mp3,2,ELECTRONIC,0
83,/tracks/ELECTRONIC/David_Guetta/David Guetta Feat. Akon - Sexy Chick (Official Video).mp3,3,ELECTRONIC,0
84,/tracks/ELECTRONIC/David_Guetta/David Guetta - Where Them Girls At (Audio).mp3,2,ELECTRONIC,0
85,/tracks/ELECTRONIC/The_Weeknd/The Weeknd - In The Night (Official Audio).mp3,2,ELECTRONIC,0
86,/tracks/ELECTRONIC/The_Weeknd/Gesaffelstein & The Weeknd - Lost in the Fire (Official Video).mp3,1,ELECTRONIC,0
87,/tracks/ELECTRONIC/The_Weeknd/The Weeknd - After Hours (Audio).mp3,2,ELECTRONIC,0
88,"/tracks/ELECTRONIC/Alesso/Hailee Steinfeld, Alesso - Let Me Go ft. Florida Georgia Line, WATT (Official Video).mp3",1,ELECTRONIC,0
89,/tracks/ELECTRONIC/Alesso/Calvin Harris - Under Control (Audio).mp3,3,ELECTRONIC,0
90,"/tracks/ELECTRONIC/Alesso/Alesso, Tove Lo - Heroes (Lyrics) we could be.mp3",2,ELECTRONIC,14
91,/tracks/ELECTRONIC/Avicii/Avicii - Levels.mp3,4,ELECTRONIC,0
92,/tracks/ELECTRONIC/Avicii/I could be the one [Nicktim] (lyrics) - Avicii ft. Nicky Romero.mp3,2,ELECTRONIC,0
93,/tracks/ELECTRONIC/Avicii/Avicii - Lonely Together “Audio” ft. Rita Ora.mp3,0,ELECTRONIC,0
94,"/tracks/ELECTRONIC/Meduza/MEDUZA, Becky Hill, Goodboys - Lose Control (Lyric Video).mp3",0,ELECTRONIC,0
95,"/tracks/ELECTRONIC/Meduza/MEDUZA, James Carter - Bad Memories (Lyric Video) ft. Elley Duhé, FAST BOY.mp3",2,ELECTRONIC,0
96,"/tracks/ELECTRONIC/Meduza/MEDUZA, Goodboys - Piece Of Your Heart (Visualizer).mp3",3,ELECTRONIC,0
97,/tracks/ELECTRONIC/CamelPhat/CAMELPHAT & RHODES - Home.mp3,3,ELECTRONIC,0
98,/tracks/ELECTRONIC/CamelPhat/Anyma & CamelPhat - The Sign.mp3,0,ELECTRONIC,0
99,/tracks/ELECTRONIC/CamelPhat/Camelphat & Elderbrook ‘Cola’.mp3,2,ELECTRONIC,0
100,/tracks/ELECTRONIC/Kygo/Kygo - Firestone ft. Conrad Sewell (Official Audio).mp3,4,ELECTRONIC,0
101,/tracks/ELECTRONIC/Kygo/Kygo - Raging ft. Kodaline (Official Lyric Video).mp3,0,ELECTRONIC,0
102,/tracks/ELECTRONIC/Kygo/Kygo - Stole The Show (Lyrics) feat. Parson James.mp3,2,ELECTRONIC,0
103,/tracks/ELECTRONIC/Swedish_House_Mafia/Swedish House Mafia - One (Your Name) (Official Video).mp3,0,ELECTRONIC,0
104,"/tracks/ELECTRONIC/Swedish_House_Mafia/Swedish House Mafia, Sting - Redlight.mp3",4,ELECTRONIC,0
105,/tracks/ELECTRONIC/Swedish_House_Mafia/Swedish House Mafia ft. John Martin - Don't You Worry Child (Official Video).mp3,2,ELECTRONIC,0
106,/tracks/ELECTRONIC/Julian_Casablancas/Daft Punk - Infinity Repeating (2013 Demo) (feat. Julian Casablancas+The Voidz).mp3,4,ELECTRONIC,0
107,/tracks/ELECTRONIC/Julian_Casablancas/Boombox (ft. Julian Casablancas).mp3,2,ELECTRONIC,0
108,/tracks/ELECTRONIC/Julian_Casablancas/Daft Punk - Instant Crush (Video) ft. Julian Casablancas.mp3,0,ELECTRONIC,0
109,/tracks/ELECTRONIC/Calvin_Harris/Calvin Harris - Outside [Audio] ft. Ellie Goulding.mp3,1,ELECTRONIC,0
110,/tracks/ELECTRONIC/Calvin_Harris/Calvin Harris & Disciples - How Deep Is Your Love (Audio).mp3,2,ELECTRONIC,0
111,/tracks/ELECTRONIC/Calvin_Harris/Calvin Harris feat. Rihanna - This Is What You Came For (Audio).mp3,2,ELECTRONIC,0
112,/tracks/ELECTRONIC/Calvin_Harris/Calvin Harris - Feel So Close (Audio).mp3,2,ELECTRONIC,0
113,/tracks/ELECTRONIC/Calvin_Harris/Calvin Harris - Summer (Audio).mp3,2,ELECTRONIC,0
114,/tracks/ELECTRONIC/Calvin_Harris/Calvin Harris - Blame (Audio) ft. John Newman.mp3,3,ELECTRONIC,0
115,/tracks/ELECTRONIC/Calvin_Harris/Calvin Harris - My Way.mp3,0,ELECTRONIC,0
116,/tracks/ELECTRONIC/Kevin_Parker/Discodeine - Aydin ft. Kevin Parker (Tame Impala).mp3,2,ELECTRONIC,0
117,/tracks/ELECTRONIC/Kevin_Parker/Mark Ronson - Daffodils (Official Audio) ft. Kevin Parker.mp3,0,ELECTRONIC,0
118,/tracks/ELECTRONIC/Kevin_Parker/Tame Impala - Currents Collectors Edition.mp3,0,ELECTRONIC,0
119,/tracks/ELECTRONIC/Tame_Impala/Tame Impala - The Less I Know The Better (Audio).mp3,2,ELECTRONIC,0
120,/tracks/ELECTRONIC/Tame_Impala/Tame Impala - Borderline (Official Audio).mp3,2,ELECTRONIC,0
121,/tracks/ELECTRONIC/Tame_Impala/Tame Impala - Let It Happen (Official Audio).mp3,1,ELECTRONIC,0
122,"/tracks/ELECTRONIC/Tame_Impala/ZHU, Tame Impala - My Life (Audio).mp3",3,ELECTRONIC,0
123,/tracks/ELECTRONIC/Tiesto/Tiësto & KSHMR feat. Vassy - Secrets (Official Music Video).mp3,2,ELECTRONIC,0
124,/tracks/ELECTRONIC/Tiesto/Tiësto - Adagio For Strings.mp3,0,ELECTRONIC,0
125,/tracks/ELECTRONIC/Tiesto/Tiësto - The Business (Official Audio).mp3,0,ELECTRONIC,0
126,/tracks/ELECTRONIC/Damon_Albarn/Damon Albarn - Heavy Seas Of Love (Official Video).mp3,4,ELECTRONIC,0
127,/tracks/ELECTRONIC/Damon_Albarn/Damon Albarn - Everyday Robots (Official Video).mp3,4,ELECTRONIC,0
128,/tracks/ELECTRONIC/Damon_Albarn/Damon Albarn - Lonely Press Play (Official Video).mp3,4,ELECTRONIC,0
129,"/tracks/ELECTRONIC/Kaytranada/KAYTRANADA, Eight9FLY - Vex Oh (Audio) ft. GoldLink, Ari PenSmith.mp3",1,ELECTRONIC,0
130,/tracks/ELECTRONIC/Kaytranada/KAYTRANADA - YOU'RE THE ONE (feat. SYD).mp3,0,ELECTRONIC,0
131,/tracks/ELECTRONIC/Kaytranada/KAYTRANADA - 10% (Audio) ft. Kali Uchis.mp3,2,ELECTRONIC,0
132,/tracks/ELECTRONIC/Fred_Again/Fred again.. & Baby Keem - leavemealone.mp3,1,ELECTRONIC,0
133,/tracks/ELECTRONIC/Fred_Again/Fred again.. x Swedish House Mafia - Turn On The Lights again.. (feat. Future) [Visualiser].mp3,3,ELECTRONIC,0
134,/tracks/ELECTRONIC/Fred_Again/Fred again.. feat. The Blessed Madonna - Marea (We’ve Lost Dancing) (Official Audio).mp3,0,ELECTRONIC,0
135,/tracks/ELECTRONIC/Fred_Again/Fred again.. - Danielle (smile on my face) (Lyrics).mp3,3,ELECTRONIC,0
136,/tracks/ELECTRONIC/Courtney_Barnett/Courtney Barnett - Avant Gardener.mp3,0,ELECTRONIC,0
137,/tracks/ELECTRONIC/Courtney_Barnett/Depreston - Courtney Barnett.mp3,4,ELECTRONIC,0
138,/tracks/ELECTRONIC/Courtney_Barnett/Pedestrian At Best - Courtney Barnett.mp3,2,ELECTRONIC,0
139,/tracks/ELECTRONIC/Elderbrook/Elderbrook & Rudimental - Something About You [Official Audio].mp3,0,ELECTRONIC,0
140,/tracks/ELECTRONIC/Elderbrook/Elderbrook - Numb.mp3,4,ELECTRONIC,0
141,/tracks/ELECTRONIC/Elderbrook/Elderbrook - Talking.mp3,4,ELECTRONIC,0
142,/tracks/ELECTRONIC/Robin_Schulz/Robin Schulz - Sugar (feat. Francesco Yates) (Official Lyric Video).mp3,0,ELECTRONIC,0
143,/tracks/ELECTRONIC/Robin_Schulz/Lilly Wood & The Prick and Robin Schulz - Prayer In C (Robin Schulz Remix) (Official).mp3,0,ELECTRONIC,0
144,/tracks/ELECTRONIC/Robin_Schulz/Mr. Probz - Waves (Robin Schulz Remix Radio Edit).mp3,4,ELECTRONIC,0
145,/tracks/ELECTRONIC/ZHU/ZHU - Generationwhy (Audio).mp3,3,ELECTRONIC,0
146,/tracks/ELECTRONIC/ZHU/ZHU - Cocaine Model.mp3,4,ELECTRONIC,0
147,/tracks/ELECTRONIC/ZHU/ZHU - Faded.mp3,0,ELECTRONIC,0
148,/tracks/ELECTRONIC/ZHU/ZHU - In The Morning.mp3,4,ELECTRONIC,0
149,/tracks/ELECTRONIC/ZHU/ZHU x Skrillex x THEY. - Working For It (Audio).mp3,0,ELECTRONIC,0
150,/tracks/ELECTRONIC/ZHU/ZHU - Good Life (Audio).mp3,4,ELECTRONIC,0
151,/tracks/ELECTRONIC/Rufus_Du_Sol/RÜFÜS DU SOL ●● Innerbloom (Official Video).mp3,0,ELECTRONIC,0
152,/tracks/ELECTRONIC/Rufus_Du_Sol/RÜFÜS DU SOL - Sundream.mp3,0,ELECTRONIC,0
153,/tracks/ELECTRONIC/Rufus_Du_Sol/RÜFÜS DU SOL - Until The Sun Needs To Rise.mp3,2,ELECTRONIC,0
154,/tracks/ELECTRONIC/Rufus_Du_Sol/RÜFÜS DU SOL ●● You Were Right [Official Video].mp3,2,ELECTRONIC,0
155,/tracks/ELECTRONIC/Florence_Welch/Florence + The Machine - Spectrum (Say My Name) (Calvin Harris remix).mp3,2,ELECTRONIC,0
156,/tracks/ELECTRONIC/Florence_Welch/Calvin Harris Feat. Florence Welch - Sweet Nothing (Long - Extended Version) - HQ.mp3,1,ELECTRONIC,0
157,/tracks/ELECTRONIC/Florence_Welch/Florence + The Machine - Dog Days Are Over (2010 Version) (Official Music Video).mp3,4,ELECTRONIC,0
158,/tracks/ELECTRONIC/Anyma/Anyma & Chris Avantgarde - Eternity.mp3,3,ELECTRONIC,0
159,/tracks/ELECTRONIC/Anyma/Anyma & CamelPhat - The Sign.mp3,3,ELECTRONIC,0
160,/tracks/ELECTRONIC/Anyma/Anyma & Chris Avantgarde - Consciousness.mp3,4,ELECTRONIC,0
161,/tracks/ELECTRONIC/Kid_Cudi/Kid Cudi - Day 'N' Nite.mp3,4,ELECTRONIC,0
162,/tracks/ELECTRONIC/Kid_Cudi/Pursuit of Happiness (Steve Aoki Remix) - Kid Cudi AUDIO.mp3,0,ELECTRONIC,0
163,/tracks/ELECTRONIC/Kid_Cudi/David Guetta Feat. Kid Cudi - Memories (Official Video).mp3,2,ELECTRONIC,0
164,/tracks/ELECTRONIC/Kevin_De_Vries/Kevin de Vries - Dance With Me.mp3,0,ELECTRONIC,0
165,/tracks/ELECTRONIC/Kevin_De_Vries/Kevin de Vries & Mau P - Metro (Extended Mix).mp3,2,ELECTRONIC,0
166,/tracks/ELECTRONIC/Kevin_De_Vries/Kevin de Vries - Dragon Of Eden  ( MNC ).mp3,4,ELECTRONIC,0
167,/tracks/POP/Demi_Lovato/Cool for the Summer (Official Video) - Demi Lovato.mp3,1,POP,7
168,/tracks/POP/Demi_Lovato/Solo - Clean Bandit.mp3,2,POP,4
169,/tracks/POP/Demi_Lovato/Confident Official Video - Demi Lovato.mp3,0,POP,4
170,/tracks/POP/Demi_Lovato/Heart Attack Official Video - Demi Lovato.mp3,2,POP,1
171,/tracks/POP/Katy_Perry/Katy Perry - Last Friday Night (T.G.I.F) (Lyrics) - 7clouds Rock.mp3,2,POP,0
172,/tracks/POP/Katy_Perry/Swish Swish - Katy Perry.mp3,2,POP,0
173,/tracks/POP/Katy_Perry/California Gurls (Official Music Video) - Katy Perry.mp3,2,POP,0
174,/tracks/POP/Katy_Perry/Firework (Official Music Video) - Katy Perry.mp3,2,POP,0
175,/tracks/POP/Katy_Perry/Katy Perry - Dark Horse ft. Juicy J - KatyPerryVEVO.mp3,1,POP,0
176,/tracks/POP/Katy_Perry/KATY PERRY - Hot N Cold _ Traducida al Español - loveyourself.mp3,2,POP,0
177,/tracks/POP/Jim_James/Jim James - State Of The Art (A.E.I.O.U.).mp3,4,POP,0
178,/tracks/POP/Jim_James/Jim James - Here In Spirit.mp3,0,POP,0
179,/tracks/POP/Jim_James/Jim James - A New Life.mp3,1,POP,0
180,/tracks/POP/Justin_Bieber/Justin Bieber - Company.mp3,0,POP,0
181,/tracks/POP/Justin_Bieber/Justin Bieber - As Long As You Love Me ft. Big Sean (Official Audio).mp3,0,POP,0
182,/tracks/POP/Justin_Bieber/Justin Bieber - Somebody To Love Remix ft. Usher (Official Music Video).mp3,1,POP,0
183,/tracks/POP/Justin_Bieber/Justin Bieber - Sorry (Lyric Video).mp3,2,POP,0
184,/tracks/POP/Justin_Bieber/Justin Bieber - Beauty And A Beat ft. Nicki Minaj (Official Audio).mp3,2,POP,0
185,/tracks/POP/Justin_Bieber/Skrillex and Diplo - _Where Are Ü Now_ with Justin Bieber (Official Video).mp3,1,POP,0
186,/tracks/POP/Justin_Bieber/DJ Snake ft. Justin Bieber - Let Me Love You [Lyric Video].mp3,0,POP,0
187,/tracks/POP/Justin_Bieber/Major Lazer - Cold Water (feat. Justin Bieber & MØ) (Official Lyric Video).mp3,2,POP,0
188,/tracks/POP/Coldplay/Coldplay - Hymn For The Weekend (Official Video).mp3,1,POP,0
189,/tracks/POP/Coldplay/Coldplay - A Sky Full Of Stars (Official Video).mp3,0,POP,0
190,/tracks/POP/Coldplay/Clocks.mp3,1,POP,0
191,/tracks/POP/Dave_Matthews/Dave Matthews Band - Crash Into Me (Official Video).mp3,1,POP,0
192,/tracks/POP/Dave_Matthews/Dave Matthews Band - You & Me (Official Video).mp3,1,POP,0
193,/tracks/POP/Dave_Matthews/Dave Matthews Band - Crush (Official HD Video).mp3,1,POP,0
194,/tracks/POP/Lady_Gaga/Lady Gaga - Judas (Audio) - GagaTube GagaTube.mp3,2,POP,0
195,/tracks/POP/Lady_Gaga/Lady Gaga - Poker Face (Official Music Video).mp3,2,POP,0
196,/tracks/POP/Lady_Gaga/Lady Gaga - Telephone ft. Beyoncé (Audio) - GagaTube GagaTube.mp3,2,POP,0
197,/tracks/POP/Lady_Gaga/Lady Gaga - Alejandro - musiclover11.mp3,2,POP,0
198,/tracks/POP/Lady_Gaga/Lady Gaga - You And I (Audio) - GagaTube GagaTube.mp3,2,POP,0
199,/tracks/POP/Lady_Gaga/Lady Gaga - Bad Romance (Official Music Video).mp3,2,POP,0
200,/tracks/POP/Lady_Gaga/Lady Gaga - Just Dance (Official Music Video) ft. Colby O'Donis.mp3,2,POP,0
201,/tracks/POP/Lady_Gaga/Lady Gaga - Paparazzi (Audio) - GagaTube GagaTube.mp3,2,POP,0
202,/tracks/POP/Harry_Styles/Harry Styles - Golden (Official Video).mp3,2,POP,0
203,/tracks/POP/Harry_Styles/Harry Styles - Adore You (Official Video).mp3,2,POP,0
204,/tracks/POP/Harry_Styles/Harry Styles - Sign of the Times (Official Video).mp3,2,POP,0
205,/tracks/POP/Charli_xcx/Von dutch - Charli XCX.mp3,2,POP,0
206,/tracks/POP/Charli_xcx/Charli XCX - Boom Clap [traducida_sub español] - Sweet Paradise.mp3,0,POP,0
207,/tracks/POP/Charli_xcx/Charli XCX - Speed Drive (From Barbie The Album) __ Sub español + Lyrics - ANDREW BUTRON.mp3,2,POP,0
208,/tracks/POP/Jason_Isbell/Jason Isbell and the 400 Unit - Relatively Easy _ Live at the Bijou Theatre 2022.mp3,3,POP,0
209,/tracks/POP/Jason_Isbell/Jason Isbell and the 400 Unit - Yvette _ Live at the Bijou Theatre 2022.mp3,4,POP,0
210,/tracks/POP/Jason_Isbell/Jason Isbell and the 400 Unit - White Beretta (Official Music Video).mp3,3,POP,0
211,/tracks/POP/Beck/Beck - Loser (Official Music Video).mp3,0,POP,0
212,"/tracks/POP/Beck/Cage The Elephant, Beck - Night Running (Official Audio).mp3",2,POP,0
213,/tracks/POP/Beck/Beck - E-Pro.mp3,0,POP,0
214,/tracks/POP/Ed_Sheeran/Ed Sheeran - Thinking Out Loud (Official Music Video).mp3,0,POP,0
215,/tracks/POP/Ed_Sheeran/Ed Sheeran - Perfect (Official Music Video).mp3,2,POP,0
216,/tracks/POP/Ed_Sheeran/Ed Sheeran - Shape of You (Official Music Video).mp3,0,POP,0
217,/tracks/POP/Lewis_Capaldi/Lewis Capaldi - Hold Me While You Wait (Interlude Session).mp3,0,POP,0
218,/tracks/POP/Lewis_Capaldi/Lewis Capaldi - Someone You Loved.mp3,1,POP,0
219,/tracks/POP/Lewis_Capaldi/Lewis Capaldi - Bruises (Official Audio).mp3,3,POP,0
220,/tracks/POP/John_Mayer/John Mayer - Your Body Is a Wonderland (Official HD Video).mp3,1,POP,0
221,/tracks/POP/John_Mayer/John Mayer - New Light (Premium Content!).mp3,0,POP,0
222,/tracks/POP/John_Mayer/John Mayer - Who You Love (Official Video) ft. Katy Perry.mp3,3,POP,0
223,/tracks/POP/Sia/David Guetta - Titanium ft. Sia (Official Video).mp3,2,POP,0
224,/tracks/POP/Sia/Sia - Chandelier (Official Video).mp3,2,POP,0
225,"/tracks/POP/Sia/LSD - Thunderclouds (Official Video) ft. Sia, Diplo, Labrinth.mp3",0,POP,0
226,/tracks/POP/Billie_Eilish/Billie Eilish - when the party's over (Official Music Video).mp3,3,POP,0
227,/tracks/POP/Billie_Eilish/Billie Eilish - bad guy (Official Music Video).mp3,3,POP,0
228,/tracks/POP/Billie_Eilish/Billie Eilish - idontwannabeyouanymore (Official Vertical Video).mp3,0,POP,0
229,/tracks/POP/Lana_Del_Rey/Lana Del Rey - Brooklyn Baby (Official Audio).mp3,0,POP,0
230,/tracks/POP/Lana_Del_Rey/Lana Del Rey vs Cedric Gervais 'Summertime Sadness' Remix.mp3,1,POP,0
231,/tracks/POP/Lana_Del_Rey/Lana Del Rey - Video Games.mp3,4,POP,0
232,"/tracks/POP/Usher/Usher - Yeah! (Official Video) ft. Lil Jon, Ludacris.mp3",2,POP,0
233,/tracks/POP/Usher/Usher - OMG ft. will.i.am.mp3,1,POP,0
234,/tracks/POP/Usher/Usher - DJ Got Us Fallin' In Love (Lyrics) ft. Pitbull.mp3,2,POP,0
235,/tracks/POP/H.E.R/KAYTRANADA - Intimidated (Audio) ft. H.E.R..mp3,2,POP,0
236,/tracks/POP/H.E.R/H.E.R. - Damage (Official Video).mp3,0,POP,0
237,/tracks/POP/H.E.R/H.E.R. - Could've Been (Audio) ft. Bryson Tiller.mp3,0,POP,0
238,/tracks/POP/Lorde/Lorde - Team.mp3,0,POP,0
239,/tracks/POP/Lorde/Ribs.mp3,3,POP,0
240,/tracks/POP/Lorde/Lorde - Royals (US Version).mp3,4,POP,0
