,ID,shortedPath,subgenres,Genre,TimesPlayed_Global,liked,artist,song,song_name,cover_link
68,69,/tracks/ELECTRONIC/Disclosure/Disclosure - Magnets ft. Lorde.mp3,1,ELECTRONIC,0,0,Disclosure,Disclosure - Magnets ft. Lorde.mp3,Magnets,https://lastfm.freetls.fastly.net/i/u/300x300/a418f4d486d629b41d90996ae509567a.png
69,70,/tracks/ELECTRONIC/Disclosure/Disclosure - Latch ft. Sam Smith.mp3,1,ELECTRONIC,0,0,Disclosure,Disclosure - Latch ft. Sam Smith.mp3,Latch,https://lastfm.freetls.fastly.net/i/u/300x300/d6c11048f1da4335b72d712c23f8c3f6.png
70,71,/tracks/ELECTRONIC/Chris_Cornell/Chris Cornell - Patience (Official Video).mp3,0,ELECTRONIC,0,0,Chris Cornell,Chris Cornell - Patience (Official Video).mp3,Patience,https://lastfm.freetls.fastly.net/i/u/300x300/eadb6bb34163871af82a6bef11f52af3.png
71,72,/tracks/ELECTRONIC/Chris_Cornell/Chris Cornell - Nearly Forgot My Broken Heart (Lyric Video).mp3,2,ELECTRONIC,0,0,Chris Cornell,Chris Cornell - Nearly Forgot My Broken Heart (Lyric Video).mp3,Nearly Forgot My Broken Heart,https://lastfm.freetls.fastly.net/i/u/300x300/0d0303a9284e19953e5507d86c535f1c.png
72,73,/tracks/ELECTRONIC/Chris_Cornell/Chris Cornell - Part Of Me ft. Timbaland.mp3,4,ELECTRONIC,0,0,Chris Cornell,Chris Cornell - Part Of Me ft. Timbaland.mp3,Part Of Me,https://lastfm.freetls.fastly.net/i/u/300x300/27d14573734b51e185b9bb33a444cfc5.png
73,74,/tracks/ELECTRONIC/Steve_Aoki/Steve Aoki - Boneless (Audio).mp3,0,ELECTRONIC,0,0,Steve Aoki,Steve Aoki - Boneless (Audio).mp3,Boneless,https://lastfm.freetls.fastly.net/i/u/300x300/98327bf2c1d1447cc443b86cc3c2968c.png
74,75,/tracks/ELECTRONIC/Steve_Aoki/Steve Aoki & Laidback Luke ft. Lil Jon - Turbulence.mp3,2,ELECTRONIC,0,0,Steve Aoki,Steve Aoki & Laidback Luke ft. Lil Jon - Turbulence.mp3,Turbulence,https://lastfm.freetls.fastly.net/i/u/770x0/181a37d168e84c8d974d170b8b53ebf7.jpg
75,76,"/tracks/ELECTRONIC/Steve_Aoki/Dimitri Vegas & Like Mike, Steve Aoki vs Ummet Ozcan - Melody.mp3",0,ELECTRONIC,0,0,Steve Aoki,"Dimitri Vegas & Like Mike, Steve Aoki vs Ummet Ozcan - Melody.mp3",Melody,https://lastfm.freetls.fastly.net/i/u/770x0/a71d00e95c4ffbc3c63f73cca7862d61.jpg
76,77,/tracks/ELECTRONIC/The_Blaze/The Blaze - EYES (Live Performance filmed by BlogotheÌque).mp3,0,ELECTRONIC,0,0,The Blaze,The Blaze - EYES (Live Performance filmed by BlogotheÌque).mp3,EYES,https://lastfm.freetls.fastly.net/i/u/300x300/be00a0ae07c19f15beaff8099b7373ca.png
77,78,/tracks/ELECTRONIC/The_Blaze/The Blaze - Territory (HQ).mp3,4,ELECTRONIC,0,0,The Blaze,The Blaze - Territory (HQ).mp3,Territory,https://lastfm.freetls.fastly.net/i/u/300x300/6b240f5d90efba5a55b80fff807f5e7e.png
